"n","seq","response_prior","eig"
4,"HHTT","ignorance",0.0341469663224884
4,"HHTH","ignorance",0.151824622143663
4,"HHHT","ignorance",0.151824622143663
4,"HHHH","ignorance",0.442421983767791
5,"TTTT","ignorance",0.509416449468324
5,"TTTH","ignorance",0.199049115696646
5,"TTHT","ignorance",0.199049115696646
5,"TTHH","ignorance",0.04822974264118
5,"THTT","ignorance",0.199049115696645
5,"THTH","ignorance",0.291494716730022
5,"THHT","ignorance",0.04822974264118
5,"THHH","ignorance",0.107553457804829
5,"HTTT","ignorance",0.107553457804829
5,"HTTH","ignorance",0.0482297426411798
5,"HTHT","ignorance",0.291494716730022
5,"HTHH","ignorance",0.199049115696646
5,"HHTT","ignorance",0.0482297426411798
5,"HHTH","ignorance",0.199049115696646
5,"HHHT","ignorance",0.199049115696646
5,"HHHH","ignorance",0.509416449468324
6,"TTTT","ignorance",0.560353900283208
6,"TTTH","ignorance",0.245010252169064
6,"TTHT","ignorance",0.245010252169064
6,"TTHH","ignorance",0.0638763964321079
6,"THTT","ignorance",0.245010252169064
6,"THTH","ignorance",0.32852934560003
6,"THHT","ignorance",0.0638763964321079
6,"THHH","ignorance",0.139745150704133
6,"HTTT","ignorance",0.139745150704132
6,"HTTH","ignorance",0.0638763964321078
6,"HTHT","ignorance",0.32852934560003
6,"HTHH","ignorance",0.245010252169064
6,"HHTT","ignorance",0.0638763964321078
6,"HHTH","ignorance",0.245010252169064
6,"HHHT","ignorance",0.245010252169064
6,"HHHH","ignorance",0.560353900283208
7,"TTTT","ignorance",0.599939766845476
7,"TTTH","ignorance",0.288722123571681
7,"TTHT","ignorance",0.288722123571681
7,"TTHH","ignorance",0.0807625942600345
7,"THTT","ignorance",0.288722123571681
7,"THTH","ignorance",0.359431522886231
7,"THHT","ignorance",0.0807625942600345
7,"THHH","ignorance",0.172880004585714
7,"HTTT","ignorance",0.172880004585714
7,"HTTH","ignorance",0.0807625942600342
7,"HTHT","ignorance",0.359431522886231
7,"HTHH","ignorance",0.288722123571682
7,"HHTT","ignorance",0.0807625942600342
7,"HHTH","ignorance",0.288722123571682
7,"HHHT","ignorance",0.288722123571682
7,"HHHH","ignorance",0.599939766845477
8,"TTTT","ignorance",0.631358855454354
8,"TTTH","ignorance",0.329714528585043
8,"TTHT","ignorance",0.329714528585043
8,"TTHH","ignorance",0.098580330279784
8,"THTT","ignorance",0.329714528585042
8,"THTH","ignorance",0.385377990001607
8,"THHT","ignorance",0.098580330279784
8,"THHH","ignorance",0.206153373742803
8,"HTTT","ignorance",0.206153373742803
8,"HTTH","ignorance",0.0985803302797834
8,"HTHT","ignorance",0.385377990001607
8,"HTHH","ignorance",0.329714528585043
8,"HHTT","ignorance",0.0985803302797834
8,"HHTH","ignorance",0.329714528585043
8,"HHHT","ignorance",0.329714528585043
8,"HHHH","ignorance",0.631358855454354
9,"TTTT","ignorance",0.65691669989499
9,"TTTH","ignorance",0.367840778124051
9,"TTHT","ignorance",0.367840778124051
9,"TTHH","ignorance",0.117044051986455
9,"THTT","ignorance",0.36784077812405
9,"THTH","ignorance",0.407291336915759
9,"THHT","ignorance",0.117044051986455
9,"THHH","ignorance",0.238961454469614
9,"HTTT","ignorance",0.238961454469614
9,"HTTH","ignorance",0.117044051986455
9,"HTHT","ignorance",0.407291336915759
9,"HTHH","ignorance",0.367840778124051
9,"HHTT","ignorance",0.117044051986455
9,"HHTH","ignorance",0.367840778124051
9,"HHHT","ignorance",0.367840778124051
9,"HHHH","ignorance",0.656916699894991
10,"TTTT","ignorance",0.678131788712743
