"workerid","rt","trial_type","sequence","response_binary","seq_binary","response"
62,6283,"coins","H H T T ",1,"1100","H"
63,8211,"coins","T H T H ",1,"0101","H"
64,6423,"coins","H T T T ",1,"1000","H"
65,12290,"coins","T T H H ",1,"0011","H"
66,10454,"coins","H T H T ",0,"1010","T"
67,8662,"coins","H H H T ",0,"1110","T"
68,13029,"coins","T T T T ",0,"0000","T"
69,9721,"coins","H T H H ",0,"1011","T"
70,17965,"coins","T T H H ",1,"0011","H"
71,12784,"coins","H T T H ",0,"1001","T"
72,11522,"coins","T H H H ",0,"0111","T"
73,6133,"coins","T T T H ",1,"0001","H"
74,7818,"coins","T H H H ",1,"0111","H"
75,12391,"coins","H T T T ",1,"1000","H"
76,15661,"coins","T H H H ",0,"0111","T"
77,9812,"coins","T T H H ",0,"0011","T"
78,10926,"coins","T T H T ",1,"0010","H"
79,17189,"coins","T H H H ",1,"0111","H"
80,14245,"coins","H T H T ",0,"1010","T"
81,20379,"coins","T T H T ",1,"0010","H"
82,16422,"coins","T T T T ",1,"0000","H"
83,6176,"coins","H H T H ",0,"1101","T"
84,10266,"coins","T T H H ",1,"0011","H"
85,12904,"coins","H H T H ",0,"1101","T"
86,22547,"coins","T H H H ",1,"0111","H"
87,23848,"coins","H T T T ",1,"1000","H"
88,21694,"coins","T H T H ",1,"0101","H"
89,7974,"coins","H T T H ",1,"1001","H"
90,11139,"coins","H H T T ",0,"1100","T"
91,11265,"coins","T T T T ",1,"0000","H"
92,14466,"coins","H H T H ",0,"1101","T"
93,13039,"coins","T H H T ",1,"0110","H"
94,13508,"coins","H T H H ",0,"1011","T"
95,14432,"coins","H T H H ",0,"1011","T"
96,6374,"coins","H H T H ",1,"1101","H"
97,8857,"coins","H T H H ",1,"1011","H"
98,13617,"coins","T T H T ",0,"0010","T"
99,10281,"coins","T H H H ",0,"0111","T"
100,15746,"coins","H T T T ",1,"1000","H"
101,16181,"coins","H H T T ",0,"1100","T"
102,1674,"coins","H H H T ",1,"1110","H"
103,3938,"coins","T H H T ",0,"0110","T"
104,9276,"coins","T T T T ",1,"0000","H"
105,16140,"coins","T H H T ",0,"0110","T"
106,7560,"coins","T T T T ",0,"0000","T"
107,36778,"coins","T H T T ",1,"0100","H"
108,51456,"coins","T H H T ",0,"0110","T"
109,17254,"coins","T H T H ",1,"0101","H"
110,6734,"coins","T T T H ",1,"0001","H"
111,12896,"coins","H T T H ",0,"1001","T"
112,19424,"coins","T H H T ",1,"0110","H"
113,10447,"coins","T H T T ",1,"0100","H"
114,9191,"coins","H T H T ",0,"1010","T"
115,15329,"coins","H H T H ",0,"1101","T"
116,10022,"coins","H T H T ",0,"1010","T"
117,14934,"coins","H H T H ",0,"1101","T"
118,14502,"coins","H H H T ",0,"1110","T"
119,14095,"coins","H H H T ",0,"1110","T"
120,13868,"coins","H H T H ",0,"1101","T"
121,1946,"coins","T H H H ",1,"0111","H"
122,4041,"coins","H T T T ",1,"1000","H"
123,7998,"coins","T H H T ",1,"0110","H"
124,15085,"coins","H T T H ",1,"1001","H"
125,14733,"coins","H T H T ",0,"1010","T"
126,5530,"coins","T T H T ",0,"0010","T"
127,19768,"coins","H T H H ",0,"1011","T"
128,8111,"coins","H H H T ",0,"1110","T"
129,11223,"coins","H H T H ",0,"1101","T"
130,37577,"coins","H T T H ",1,"1001","H"
131,10513,"coins","H T T T ",1,"1000","H"
132,4514,"coins","T H H H ",1,"0111","H"
133,7021,"coins","H H H H ",0,"1111","T"
134,5608,"coins","T T T T ",1,"0000","H"
