n,seq,eig
1,TTTT,0.06739736748944032
1,TTTH,0.024849072490256436
1,TTHT,0.024849072490256436
1,TTHH,0.004538486188490492
1,THTT,0.02484907249025641
1,THTH,0.05568205946813872
1,THHT,0.004538486188490492
1,THHH,0.00979731903352476
1,HTTT,0.009797319033524715
1,HTTH,0.004538486188490504
1,HTHT,0.05568205946813884
1,HTHH,0.024849072490256488
1,HHTT,0.004538486188490504
1,HHTH,0.024849072490256488
1,HHHT,0.024849072490256488
1,HHHH,0.06739736748944031
2,TTTT,0.1254690299699739
2,TTTH,0.048498697171197064
2,TTHT,0.048498697171197064
2,TTHH,0.009036216803929485
2,THTT,0.04849869717119693
2,THTH,0.1060412281619468
2,THHT,0.009036216803929485
2,THHH,0.01940335660843787
2,HTTT,0.019403356608437908
2,HTTH,0.009036216803929374
2,HTHT,0.106041228161947
2,HTHH,0.04849869717119708
2,HHTT,0.009036216803929374
2,HHTH,0.04849869717119708
2,HHHT,0.04849869717119708
2,HHHH,0.12546902996997403
3,TTTT,0.17636578239940792
3,TTTH,0.07105129607687102
3,TTHT,0.07105129607687102
3,TTHH,0.01349371396673751
3,THTT,0.0710512960768708
3,THTH,0.15141551294087274
3,THHT,0.01349371396673751
3,THHH,0.028825359418612077
3,HTTT,0.02882535941861194
3,HTTH,0.0134937139667376
3,HTHT,0.1514155129408729
3,HTHH,0.07105129607687098
3,HHTT,0.0134937139667376
3,HHTH,0.07105129607687098
3,HHHT,0.07105129607687098
3,HHHH,0.1763657823994079
4,TTTT,0.22138381557461123
4,TTTH,0.09259473618300001
4,TTHT,0.09259473618300001
4,TTHH,0.01791149555479563
4,THTT,0.09259473618299983
4,THTH,0.1923654214497071
4,THHT,0.01791149555479563
4,THHH,0.03807002558969553
4,HTTT,0.03807002558969548
4,HTTH,0.017911495554795723
4,HTHT,0.19236542144970734
4,HTHH,0.09259473618300003
4,HHTT,0.017911495554795723
4,HHTH,0.09259473618300003
4,HHHT,0.09259473618300003
4,HHHH,0.22138381557461112
5,TTTT,0.2614156393565062
5,TTTH,0.11320530871889521
5,TTHT,0.11320530871889521
5,TTHH,0.022290073704971245
5,THTT,0.11320530871889495
5,THTH,0.2294326952069516
5,THHT,0.022290073704971245
5,THHH,0.04714358485001023
5,HTTT,0.047143584850010106
5,HTTH,0.022290073704971197
5,HTHT,0.2294326952069517
5,HTHH,0.11320530871889523
5,HHTT,0.022290073704971197
5,HHTH,0.11320530871889523
5,HHHT,0.11320530871889523
5,HHHH,0.26141563935650636
6,TTTT,0.29718495982443555
6,TTTH,0.13295016926052688
