n,seq,eig
1,TTTT,0.10250853260534443
1,TTTH,0.02497399836378917
1,TTHT,0.02497399836378917
1,TTHH,0.004586395447281944
1,THTT,0.02497399836378915
1,THTH,0.06259688919612907
1,THHT,0.004586395447281944
1,THHH,0.010426400956821772
1,HTTT,0.010426400956821732
1,HTTH,0.004586395447281958
1,HTHT,0.06259688919612923
1,HTHH,0.024973998363789225
1,HHTT,0.004586395447281958
1,HHTH,0.024973998363789225
1,HHHT,0.024973998363789225
1,HHHH,0.10250853260534443
2,TTTT,0.23649321025003256
2,TTTH,0.061528246172745625
2,TTHT,0.061528246172745625
2,TTHH,0.01200184118269679
2,THTT,0.06152824617274548
2,THTH,0.13173106289825343
2,THHT,0.01200184118269679
2,THHH,0.027501285705420042
2,HTTT,0.027501285705420122
2,HTTH,0.012001841182696659
2,HTHT,0.13173106289825362
2,HTHH,0.061528246172745646
2,HHTT,0.012001841182696659
2,HHTH,0.061528246172745646
2,HHHT,0.061528246172745646
2,HHHH,0.23649321025003278
3,TTTT,0.3530066690693555
3,TTTH,0.1050765857495084
3,TTHT,0.1050765857495084
3,TTHH,0.021960732391835963
3,THTT,0.10507658574950812
3,THTH,0.19409170338333534
3,THHT,0.021960732391835963
3,THHH,0.050206175351943855
3,HTTT,0.050206175351943653
3,HTTH,0.02196073239183598
3,HTHT,0.19409170338333553
3,HTHH,0.10507658574950832
3,HHTT,0.02196073239183598
3,HHTH,0.10507658574950832
3,HHHT,0.10507658574950832
3,HHHH,0.3530066690693555
4,TTTT,0.4424219837677909
4,TTTH,0.15182462214366294
4,TTHT,0.15182462214366294
4,TTHH,0.03414696632248845
4,THTT,0.15182462214366269
4,THTH,0.24710019186130266
4,THHT,0.03414696632248845
4,THHH,0.07731368153890028
4,HTTT,0.07731368153890017
4,HTTH,0.034146966322488446
4,HTHT,0.247100191861303
4,HTHH,0.15182462214366285
4,HHTT,0.034146966322488446
4,HHTH,0.15182462214366285
4,HHHT,0.15182462214366285
4,HHHH,0.4424219837677909
5,TTTT,0.5094164494683242
5,TTTH,0.19904911569664568
5,TTHT,0.19904911569664568
5,TTHH,0.048229742641179976
5,THTT,0.19904911569664524
5,THTH,0.2914947167300217
5,THHT,0.048229742641179976
5,THHH,0.10755345780482946
5,HTTT,0.10755345780482911
5,HTTH,0.04822974264117981
5,HTHT,0.2914947167300218
5,HTHH,0.19904911569664557
5,HHTT,0.04822974264117981
5,HHTH,0.19904911569664557
5,HHHT,0.19904911569664557
5,HHHH,0.5094164494683244
6,TTTT,0.5603539002832079
6,TTTH,0.24501025216906425
6,TTHT,0.24501025216906425
6,TTHH,0.06387639643210793
6,THTT,0.24501025216906397
6,THTH,0.3285293456000298
6,THHT,0.06387639643210793
6,THHH,0.13974515070413251
6,HTTT,0.1397451507041324
6,HTTH,0.06387639643210775
6,HTHT,0.32852934560003005
6,HTHH,0.2450102521690643
6,HHTT,0.06387639643210775
6,HHTH,0.2450102521690643
6,HHHT,0.2450102521690643
6,HHHH,0.5603539002832079
7,TTTT,0.5999397668454765
7,TTTH,0.2887221235716814
7,TTHT,0.2887221235716814
7,TTHH,0.0807625942600345
7,THTT,0.28872212357168087
7,THTH,0.35943152288623126
7,THHT,0.0807625942600345
7,THHH,0.17288000458571431
7,HTTT,0.172880004585714
7,HTTH,0.08076259426003421
7,HTHT,0.35943152288623137
7,HTHH,0.2887221235716816
7,HHTT,0.08076259426003421
7,HHTH,0.2887221235716816
7,HHHT,0.2887221235716816
7,HHHH,0.5999397668454767
8,TTTT,0.6313588554543541
8,TTTH,0.32971452858504274
8,TTHT,0.32971452858504274
8,TTHH,0.098580330279784
8,THTT,0.32971452858504224
8,THTH,0.3853779900016073
8,THHT,0.098580330279784
8,THHH,0.20615337374280332
8,HTTT,0.20615337374280335
8,HTTH,0.09858033027978338
8,HTHT,0.38537799000160733
8,HTHH,0.3297145285850428
8,HHTT,0.09858033027978338
8,HHTH,0.3297145285850428
8,HHHT,0.3297145285850428
8,HHHH,0.6313588554543542
9,TTTT,0.6569166998949904
9,TTTH,0.36784077812405064
9,TTHT,0.36784077812405064
9,TTHH,0.1170440519864549
9,THTT,0.36784077812405
9,THTH,0.40729133691575925
9,THHT,0.1170440519864549
9,THHH,0.23896145446961373
9,HTTT,0.2389614544696137
9,HTTH,0.1170440519864546
9,HTHT,0.40729133691575925
9,HTHH,0.3678407781240506
9,HHTT,0.1170440519864546
9,HHTH,0.3678407781240506
9,HHHT,0.3678407781240506
9,HHHH,0.6569166998949906
10,TTTT,0.6781317887127427
10,TTTH,0.40314165839351257
10,TTHT,0.40314165839351257
10,TTHH,0.13589509936114896
10,THTT,0.40314165839351196
10,THTH,0.4258783559779535
10,THHT,0.13589509936114896
10,THHH,0.270877515813773
10,HTTT,0.2708775158137729
10,HTTH,0.13589509936114846
10,HTHT,0.4258783559779535
10,HTHH,0.40314165839351235
10,HHTT,0.13589509936114846
10,HHTH,0.40314165839351235
10,HHHT,0.40314165839351235
10,HHHH,0.6781317887127428
11,TTTT,0.6959690437841077
11,TTTH,0.4357570426716154
11,TTHT,0.4357570426716154
11,TTHH,0.1549045561290922
11,THTT,0.43575704267161464
11,THTH,0.4417843507596235
11,THHT,0.1549045561290922
11,THHH,0.3016198486796981
11,HTTT,0.30161984867969827
11,HTTH,0.1549045561290919
11,HTHT,0.44178435075962347
11,HTHH,0.4357570426716151
11,HHTT,0.1549045561290919
11,HHTH,0.4357570426716151
11,HHHT,0.4357570426716151
11,HHHH,0.6959690437841077
12,TTTT,0.7112166208405754
12,TTTH,0.4658720613877456
12,TTHT,0.4658720613877456
12,TTHH,0.17387460823113693
12,THTT,0.46587206138774484
12,THTH,0.4555090272658443
12,THHT,0.17387460823113693
12,THHH,0.33101925429120194
12,HTTT,0.331019254291202
12,HTTH,0.17387460823113624
12,HTHT,0.4555090272658443
12,HTHH,0.4658720613877452
12,HHTT,0.17387460823113624
12,HHTH,0.4658720613877452
12,HHHT,0.4658720613877452
12,HHHH,0.7112166208405756
13,TTTT,0.724459400381933
13,TTTH,0.49368617603220577
13,TTHT,0.49368617603220577
13,TTHH,0.19263855525214837
13,THTT,0.49368617603220527
13,THTH,0.46740311399754236
13,THHT,0.19263855525214837
13,THHH,0.3589901318125061
13,HTTT,0.35899013181250594
13,HTTH,0.19263855525214788
13,HTHT,0.4674031139975424
13,HTHH,0.49368617603220566
13,HHTT,0.19263855525214788
13,HHTH,0.49368617603220566
13,HHHT,0.49368617603220566
13,HHHH,0.7244594003819332
14,TTTT,0.7360419543376618
14,TTTH,0.5193964829318137
14,TTHT,0.5193964829318137
14,TTHH,0.21105968515511875
14,THTT,0.5193964829318133
14,THTH,0.47779920550941857
14,THHT,0.21105968515511875
14,THHH,0.38550668371281493
14,HTTT,0.385506683712815
14,HTTH,0.2110596851551184
14,HTHT,0.47779920550941846
14,HTHH,0.5193964829318134
14,HHTT,0.2110596851551184
14,HHTH,0.5193964829318134
14,HHHT,0.5193964829318134
14,HHHH,0.7360419543376618
15,TTTT,0.7462772988761484
15,TTTH,0.5431894444718594
15,TTHT,0.5431894444718594
15,TTHH,0.22902927021829061
15,THTT,0.5431894444718588
15,THTH,0.4869669813082393
15,THHT,0.22902927021829061
15,THHH,0.41058431349482005
15,HTTT,0.4105843134948201
15,HTTH,0.22902927021828992
15,HTHT,0.4869669813082392
15,HTHH,0.5431894444718594
15,HHTT,0.22902927021828992
15,HHTH,0.5431894444718594
15,HHHT,0.5431894444718594
15,HHHH,0.7462772988761482
16,TTTT,0.7554493081609993
16,TTTH,0.5652373835649008
16,TTHT,0.5652373835649008
16,TTHH,0.246463958420303
16,THTT,0.5652373835649004
16,THTH,0.49507618317524366
16,THHT,0.246463958420303
16,THHH,0.4342656104462197
16,HTTT,0.4342656104462195
16,HTTH,0.24646395842030247
16,HTHT,0.4950761831752435
16,HTHH,0.5652373835649009
16,HHTT,0.24646395842030247
16,HHTH,0.5652373835649009
16,HHHT,0.5652373835649009
16,HHHH,0.7554493081609992
17,TTTT,0.7637065374571621
17,TTTH,0.5856975456966506
17,TTHT,0.5856975456966506
17,TTHH,0.26330282000014965
17,THTT,0.5856975456966501
17,THTH,0.5022978173848779
17,THHT,0.26330282000014965
17,THHH,0.45661008965422734
17,HTTT,0.456610089654227
17,HTTH,0.26330282000014915
17,HTHT,0.502297817384878
17,HTHH,0.5856975456966502
17,HHTT,0.26330282000014915
17,HHTH,0.5856975456966502
17,HHHT,0.5856975456966502
17,HHHH,0.7637065374571623
18,TTTT,0.7711799740092116
18,TTTH,0.6047124630404017
18,TTHT,0.6047124630404017
18,TTHH,0.27950427208866796
18,THTT,0.604712463040401
18,THTH,0.5087865761606036
18,THHT,0.27950427208866796
18,THHH,0.4776868629409638
18,HTTT,0.47768686294096374
18,HTTH,0.2795042720886674
18,HTHT,0.5087865761606037
18,HTHH,0.6047124630404014
18,HHTT,0.2795042720886674
18,HHTH,0.6047124630404014
18,HHHT,0.6047124630404014
18,HHHH,0.7711799740092115
19,TTTT,0.7780295195961197
19,TTTH,0.6224109125753312
19,TTHT,0.6224109125753312
