comparison,sequence,eig
fair-bias,TTTT,0.6091046934884625
fair-bias,TTTH,0.4695991071930552
fair-bias,TTHT,0.4695991071930552
fair-bias,TTHH,5.551115123125837e-17
fair-bias,THTT,0.4695991071930552
fair-bias,THTH,5.551115123125837e-17
fair-bias,THHT,5.551115123125837e-17
fair-bias,THHH,0.4695991071930553
fair-bias,HTTT,0.46959910719305553
fair-bias,HTTH,5.551115123125837e-17
fair-bias,HTHT,5.551115123125837e-17
fair-bias,HTHH,0.4695991071930553
fair-bias,HHTT,5.551115123125837e-17
fair-bias,HHTH,0.4695991071930553
fair-bias,HHHT,0.4695991071930553
fair-bias,HHHH,0.6091046934884624
bias-markov,TTTT,0.2943293026713839
bias-markov,TTTH,0.5513092292676812
bias-markov,TTHT,0.5513092292676812
bias-markov,TTHH,0.33018373723893885
bias-markov,THTT,0.551309229267681
bias-markov,THTH,0.5954990789857326
bias-markov,THHT,0.33018373723893885
bias-markov,THHH,0.2423685687141295
bias-markov,HTTT,0.2423685687141302
bias-markov,HTTH,0.3301837372389381
bias-markov,HTHT,0.5954990789857326
bias-markov,HTHH,0.5513092292676812
bias-markov,HHTT,0.3301837372389381
bias-markov,HHTH,0.5513092292676812
bias-markov,HHHT,0.5513092292676812
bias-markov,HHHH,0.2943293026713834
threeway,TTTT,0.784334949606659
threeway,TTTH,0.6389090960435363
threeway,TTHT,0.6389090960435363
threeway,TTHH,0.3099073920106097
threeway,THTT,0.6389090960435354
threeway,THTH,0.5199057696193181
threeway,THHT,0.3099073920106097
threeway,THHH,0.5163326682548417
threeway,HTTT,0.5163326682548419
threeway,HTTH,0.309907392010609
threeway,HTHT,0.5199057696193182
threeway,HTHH,0.6389090960435356
threeway,HHTT,0.309907392010609
threeway,HHTH,0.6389090960435356
threeway,HHHT,0.6389090960435356
threeway,HHHH,0.7843349496066591
