comparison,sequence,eig
fair-bias,TTTT,0.10669845740060505
fair-bias,TTTH,0.01534108258942353
fair-bias,TTHT,0.01534108258942353
fair-bias,TTHH,-2.775557561562891e-17
fair-bias,THTT,0.01534108258942353
fair-bias,THTH,-2.775557561562891e-17
fair-bias,THHT,-2.775557561562891e-17
fair-bias,THHH,0.01534108258942369
fair-bias,HTTT,0.01534108258942369
fair-bias,HTTH,-2.775557561562891e-17
fair-bias,HTHT,-2.775557561562891e-17
fair-bias,HTHH,0.01534108258942369
fair-bias,HHTT,-2.775557561562891e-17
fair-bias,HHTH,0.01534108258942369
fair-bias,HHHT,0.01534108258942369
fair-bias,HHHH,0.10669845740060505
bias-markov,TTTT,0.0031326258108096564
bias-markov,TTTH,0.03685928980986776
bias-markov,TTHT,0.03685928980986776
bias-markov,TTHH,0.005221166802901998
bias-markov,THTT,0.03685928980986786
bias-markov,THTH,0.08069566796366791
bias-markov,THHT,0.005221166802901998
bias-markov,THHH,0.002785815907370698
bias-markov,HTTT,0.0027858159073706167
bias-markov,HTTH,0.00522116680290206
bias-markov,HTHT,0.08069566796366792
bias-markov,HTHH,0.03685928980986778
bias-markov,HHTT,0.00522116680290206
bias-markov,HHTH,0.03685928980986778
bias-markov,HHHT,0.03685928980986778
bias-markov,HHHH,0.003132625810809764
threeway,TTTT,0.10250853260534443
threeway,TTTH,0.02497399836378917
threeway,TTHT,0.02497399836378917
threeway,TTHH,0.004586395447281944
threeway,THTT,0.02497399836378915
threeway,THTH,0.06259688919612907
threeway,THHT,0.004586395447281944
threeway,THHH,0.010426400956821772
threeway,HTTT,0.010426400956821732
threeway,HTTH,0.004586395447281958
threeway,HTHT,0.06259688919612923
threeway,HTHH,0.024973998363789225
threeway,HHTT,0.004586395447281958
threeway,HHTH,0.024973998363789225
threeway,HHHT,0.024973998363789225
threeway,HHHH,0.10250853260534443
